Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
165,General Mills,"39,000",161,"$16,563 ",-6.10%,"$1,697.40 ",39.00%,"$21,712 ","$33,998 "
166,PNC Financial Services Group,"50,683",171,"$16,423 ",0.90%,"$3,903.00 ",-4.90%,"$3,66,380","$58,455 "
167,American Electric Power,"17,634",165,"$16,380 ",-3.10%,$610.90 ,-70.20%,"$63,468 ","$33,009 "
168,Icahn Enterprises,"90,980",184,"$16,348 ",7.00%,"-$1,128.00",-,"$33,335 ","$7,989 "
169,Nucor,"23,900",170,"$16,208 ",-1.40%,$796.30 ,122.60%,"$15,224 ","$19,051 "
170,NextEra Energy,"14,700",163,"$16,155 ",-7.60%,"$2,912.00 ",5.80%,"$89,993 ","$60,099 "
171,Performance Food Group,"13,000",185,"$16,105 ",5.50%,$68.30 ,20.90%,"$3,455 ","$2,464 "
172,PBF Energy,"3,165",217,"$15,920 ",21.30%,$170.80 ,16.70%,"$7,622 ","$2,431 "
173,Halliburton,"50,000",117,"$15,887 ",-32.80%,"-$5,763.00",-,"$27,000 ","$42,662 "
174,CarMax,"22,429",191,"$15,833 ",6.40%,$623.40 ,4.40%,"$14,482 ","$11,081 "
175,Freeport-McMoRan,"30,000",175,"$15,789 ",-0.60%,"-$4,154.00",-,"$37,317 ","$19,310 "
176,Whole Foods Market,"73,515",181,"$15,724 ",2.20%,$507.00 ,-5.40%,"$6,341 ","$9,468 "
177,Bank of New York Mellon Corp.,"52,000",179,"$15,683 ",1.00%,"$3,547.00 ",12.30%,"$3,33,469","$48,913 "
178,Gap,"1,35,000",177,"$15,516 ",-1.80%,$676.00 ,-26.50%,"$7,610 ","$9,712 "
179,Omnicom Group,"78,500",186,"$15,417 ",1.90%,"$1,148.60 ",5.00%,"$23,165 ","$20,219 "
180,Genuine Parts,"40,000",183,"$15,340 ",0.40%,$687.20 ,-2.60%,"$8,859 ","$13,712 "
181,DaVita HealthCare Partners,"70,300",200,"$15,197 ",6.90%,$879.90 ,226.20%,"$18,741 ","$13,227 "
182,Colgate-Palmolive,"36,700",174,"$15,195 ",-5.20%,"$2,441.00 ",76.40%,"$12,123 ","$64,715 "
183,PPG Industries,"47,000",182,"$15,178 ",-1.00%,$877.00 ,-37.60%,"$15,769 ","$26,970 "
184,Goodyear Tire & Rubber,"66,000",169,"$15,158 ",-7.80%,"$1,264.00 ",311.70%,"$16,511 ","$9,070 "
185,Synchrony Financial,"15,000",,"$15,122 ",11.00%,"$2,251.00 ",1.70%,"$90,207 ","$27,810 "
186,DISH Network,"16,000",187,"$15,095 ",0.20%,"$1,449.90 ",94.10%,"$28,092 ","$29,547 "
187,Visa,"14,200",204,"$15,082 ",8.70%,"$5,991.00 ",-5.30%,"$64,035 ","$2,06,242"
188,Nordstrom,"72,500",197,"$14,757 ",2.20%,$354.00 ,-41.00%,"$7,858 ","$7,770 "
189,INTL FCStone,"1,464",83,"$14,755 ",-57.50%,$54.70 ,-1.80%,"$5,951 ",$708 
190,WestRock,"39,000",251,"$14,706 ",29.20%,-$396.30,-178.20%,"$23,038 ","$13,029 "
191,XPO Logistics,"87,000",353,"$14,619 ",91.80%,$69.00 ,-,"$11,698 ","$5,338 "
192,Aramark,"2,17,250",199,"$14,416 ",0.60%,$287.80 ,22.00%,"$10,582 ","$9,081 "
193,CBS,"18,410",203,"$14,386 ",3.60%,"$1,261.00 ",-10.80%,"$24,238 ","$28,405 "
194,AES,"19,000",190,"$14,287 ",-4.50%,"-$1,130.00",-469.30%,"$36,119 ","$7,371 "
195,WellCare Health Plans,"7,400",202,"$14,237 ",2.50%,$242.10 ,104.10%,"$6,153 ","$6,212 "
196,FirstEnergy,"15,707",188,"$14,156 ",-3.10%,"-$6,177.00",-,"$43,148 ","$14,118 "
197,ConAgra Foods,"20,900",176,"$14,134 ",-10.80%,-$677.00,-,"$13,391 ","$17,557 "
198,Synnex,"1,10,000",212,"$14,062 ",5.40%,$234.90 ,12.70%,"$5,223 ","$4,469 "
199,CDW,"8,516",220,"$13,982 ",7.60%,$424.40 ,5.30%,"$6,948 ","$9,197 "
200,Textron,"36,000",209,"$13,788 ",2.70%,$962.00 ,38.00%,"$15,358 ","$12,851 "
201,Waste Management,"41,200",221,"$13,609 ",5.00%,"$1,182.00 ",57.00%,"$20,859 ","$32,216 "
202,Illinois Tool Works,"50,000",211,"$13,599 ",1.40%,"$2,035.00 ",7.20%,"$15,201 ","$45,791 "
203,Office Depot,"38,000",196,"$13,585 ",-6.20%,$529.00 ,-,"$5,540 ","$2,402 "
204,Monsanto,"22,450",189,"$13,502 ",-10.00%,"$1,336.00 ",-42.30%,"$19,736 ","$49,644 "
205,Cognizant Technology Solutions,"2,60,200",230,"$13,487 ",8.60%,"$1,553.00 ",-4.30%,"$14,262 ","$36,226 "
206,Texas Instruments,"29,865",219,"$13,370 ",2.80%,"$3,595.00 ",20.40%,"$16,431 ","$80,531 "
