Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
475,AmTrust Financial Services,"8,000",531,"$5,451 ",18.10%,$411.00 ,-8.80%,"$22,615 ","$3,158 "
476,Cincinnati Financial,"4,754",499,"$5,449 ",6.00%,$590.70 ,-6.80%,"$20,386 ","$11,911 "
477,Simon Property Group,"4,050",488,"$5,435 ",3.20%,"$1,838.90 ",0.60%,"$31,104 ","$53,732 "
478,Western Union,"10,700",468,"$5,423 ",-1.10%,$253.20 ,-69.80%,"$9,420 ","$9,691 "
479,KeyCorp,"15,700",540,"$5,422 ",19.40%,$791.00 ,-13.60%,"$1,36,453","$19,238 "
480,Delek US Holdings,"1,326",445,"$5,414 ",-6.00%,-$153.70,-892.30%,"$2,985 ","$1,504 "
481,Booz Allen Hamilton Holding,"22,600",487,"$5,406 ",2.50%,$294.10 ,26.50%,"$3,010 ","$5,307 "
482,Chemours,"7,000",,"$5,400 ",-,$7.00 ,-,"$6,060 ","$7,080 "
483,Western & Southern Financial Group,"2,178",479,"$5,398 ",0.80%,$241.20 ,-47.20%,"$43,831 ",-
484,Regions Financial,"7,293",453,"$5,389 ",-5.00%,$900.00 ,196.10%,"$8,357 ","$12,643 "
485,Windstream Holdings,"11,870",443,"$5,387 ",-6.60%,-$383.50,-,"$11,770 ","$1,038 "
486,Seaboard,"11,781",460,"$5,379 ",-3.80%,$312.00 ,82.50%,"$4,755 ","$4,881 "
487,Essendant,"6,600",477,"$5,369 ",0.10%,$63.90 ,-,"$2,164 ",$568 
488,Apache,"3,727",388,"$5,354 ",-19.50%,"-$1,405.00",-,"$22,519 ","$19,547 "
489,Airgas,"17,000",484,"$5,314 ",0.20%,$337.50 ,-8.30%,"$6,135 ",-
490,Kelly Services,"7,500",467,"$5,277 ",-4.40%,$120.80 ,124.50%,"$2,028 ",$836 
491,Liberty Media,"3,626",525,"$5,276 ",10.00%,$680.00 ,962.50%,"$31,377 ","$13,055 "
492,Rockwell Collins,"19,000",490,"$5,259 ",-0.10%,$728.00 ,6.10%,"$7,707 ","$12,711 "
493,Robert Half International,"16,400",503,"$5,250 ",3.10%,$343.40 ,-4.00%,"$1,778 ","$6,240 "
494,CH2M Hill,"20,000",478,"$5,236 ",-2.30%,$15.00 ,-81.30%,"$2,671 ",-
495,Big Lots,"23,150",495,"$5,200 ",0.20%,$152.80 ,7.00%,"$1,608 ","$2,180 "
496,Michaels Cos.,"31,000",517,"$5,197 ",5.80%,$378.20 ,4.20%,"$2,148 ","$4,229 "
497,Toll Brothers,"4,200",576,"$5,170 ",23.90%,$382.10 ,5.20%,"$9,737 ","$5,872 "
498,Yahoo,"8,500",513,"$5,169 ",4.00%,-$214.30,-,"$48,083 ","$44,391 "
499,Vistra Energy,"4,431",,"$5,164 ",-,-,-,"$15,167 ","$6,968 "
500,ABM Industries,"1,10,000",485,"$5,145 ",-2.80%,$57.20 ,-25.00%,"$2,281 ","$2,428 "
