city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
neiafu,ZA,2018-11-11 22:37:11,-30.97,22.13,72.46,28,4.5,0
neiafu,RU,2018-11-11 22:37:17,71.64,128.87,-3.5,64,12.55,0
neiafu,CN,2018-11-11 22:37:18,36.98,120.7,57.43,58,5.55,20
neiafu,MY,2018-11-11 22:00:00,5.16,100.43,86.0,74,9.17,75
neiafu,TR,2018-11-11 21:50:00,38.07,30.16,37.4,100,2.24,0
neiafu,AU,2018-11-11 22:37:23,-12.05,134.23,88.89,68,14.61,0
neiafu,RU,2018-11-11 22:37:25,52.16,46.96,15.31,78,7.11,0
neiafu,US,2018-11-11 22:18:00,46.54,-87.4,26.06,89,4.7,90
neiafu,OM,2018-11-11 22:37:29,22.57,59.53,83.17,88,4.76,0
neiafu,RU,2018-11-11 22:00:00,58.1,57.12,17.6,61,11.18,0
neiafu,PH,2018-11-11 22:37:38,11.0,122.67,86.19,68,13.11,36
neiafu,CA,2018-11-11 22:00:00,53.65,-115.58,19.4,100,2.82,90
neiafu,CF,2018-11-11 22:37:43,5.02,25.13,77.41,84,3.71,8
neiafu,PL,2018-11-11 22:00:00,53.12,18.0,39.2,100,5.82,0
neiafu,RU,2018-11-11 22:37:46,69.38,178.42,5.64,100,7.85,8
neiafu,NZ,2018-11-11 22:37:52,-46.28,169.85,53.11,100,4.83,92
neiafu,TH,2018-11-11 22:00:00,9.96,98.62,89.6,66,9.17,75
neiafu,BW,2018-11-11 22:37:54,-26.02,22.4,84.16,12,12.26,0
neiafu,RU,2018-11-11 22:00:00,53.05,158.65,39.2,55,11.18,40
neiafu,RU,2018-11-11 22:37:57,61.68,96.39,-11.47,71,10.02,56
neiafu,FR,2018-11-11 22:03:00,50.18,3.24,50.0,100,4.7,92
neiafu,RU,2018-11-11 22:37:59,71.97,114.09,-12.68,60,13.82,24
neiafu,NG,2018-11-11 22:38:02,4.92,6.26,74.17,91,3.09,20
neiafu,AI,2018-11-11 22:00:00,18.22,-63.06,78.8,83,10.29,40
neiafu,NG,2018-11-11 22:38:04,12.81,11.04,63.42,30,6.62,0
neiafu,PG,2018-11-11 22:38:05,-5.21,145.81,78.99,100,3.6,36
neiafu,SA,2018-11-11 22:00:00,17.54,44.22,80.6,28,3.53,0
neiafu,TM,2018-11-11 22:00:00,42.05,59.39,32.0,66,18.34,75
neiafu,RU,2018-11-11 22:38:11,68.06,166.44,-18.35,52,2.3,8
neiafu,CD,2018-11-11 22:38:13,-4.99,12.94,72.96,100,3.09,92
neiafu,US,2018-11-11 22:16:00,37.23,-80.01,30.2,78,2.37,75
neiafu,CO,2018-11-11 22:38:16,-0.19,-74.78,76.15,94,2.19,24
neiafu,NZ,2018-11-11 22:38:17,-42.72,170.96,56.62,93,12.03,24
neiafu,ET,2018-11-11 22:37:31,12.98,37.77,64.32,90,2.59,20
neiafu,US,2018-11-11 22:15:00,47.43,-92.94,18.14,82,8.05,40
neiafu,UY,2018-11-11 22:00:00,-34.0,-58.28,73.4,88,3.36,0
neiafu,ES,2018-11-11 22:16:00,42.77,-9.06,42.8,93,5.82,40
neiafu,US,2018-11-11 21:56:00,32.94,-85.95,48.92,100,6.29,75
neiafu,ZA,2018-11-11 22:32:03,-34.42,19.24,65.8,68,2.3,20
neiafu,CA,2018-11-11 22:38:33,52.21,-105.12,9.73,80,6.85,64
neiafu,AU,2018-11-11 21:00:00,-35.36,150.48,73.4,53,17.22,0
neiafu,ES,2018-11-11 22:00:00,43.68,-7.85,46.4,93,6.93,0
neiafu,CA,2018-11-11 21:00:00,55.74,-97.86,1.4,77,9.17,75
neiafu,GY,2018-11-11 21:00:00,6.41,-58.62,73.4,94,1.12,0
neiafu,CD,2018-11-11 22:38:39,-3.32,17.38,70.26,100,5.5,92
neiafu,AU,2018-11-11 22:00:00,-15.77,128.74,104.0,16,8.05,0
neiafu,PG,2018-11-11 22:38:42,-2.02,147.27,83.22,100,1.97,44
neiafu,HU,2018-11-11 22:00:00,47.0,19.92,44.6,87,4.7,20
neiafu,ID,2018-11-11 22:38:45,1.74,98.78,78.27,87,2.71,88
neiafu,CN,2018-11-11 22:38:46,27.79,120.09,61.21,100,2.37,92
neiafu,RU,2018-11-11 22:38:48,45.67,39.64,35.34,71,20.09,92
neiafu,AU,2018-11-11 22:38:50,-34.72,135.86,73.86,60,3.76,92
neiafu,GB,2018-11-11 22:38:53,55.14,-7.45,49.69,94,20.15,76
neiafu,NZ,2018-11-11 22:00:00,-36.82,174.45,62.6,67,12.75,64
neiafu,RU,2018-11-11 22:34:02,50.68,156.12,40.92,97,10.54,64
neiafu,AR,2018-11-11 22:00:00,-34.42,-58.58,73.4,88,3.36,0
neiafu,RU,2018-11-11 22:38:57,65.95,111.51,-15.34,65,4.09,8
neiafu,UA,2018-11-11 22:38:59,50.83,28.95,35.65,86,14.34,92
neiafu,CN,2018-11-11 22:39:00,30.8,108.39,53.74,97,2.59,88
neiafu,AU,2018-11-11 22:00:00,-31.43,152.91,73.4,46,11.41,0
neiafu,AR,2018-11-11 22:00:00,-45.87,-67.48,62.6,59,3.36,0
neiafu,ET,2018-11-11 22:39:11,8.98,37.86,57.7,97,3.27,32
neiafu,FR,2018-11-11 22:00:00,48.38,-4.62,51.8,93,8.05,20
neiafu,US,2018-11-11 22:39:13,37.17,-99.65,29.8,91,18.14,92
neiafu,RU,2018-11-11 22:39:15,55.79,84.89,-0.04,87,14.94,48
neiafu,CA,2018-11-11 22:00:00,63.75,-68.52,1.4,70,14.99,5
neiafu,DZ,2018-11-11 22:00:00,27.87,-0.29,55.4,37,10.29,0
neiafu,CN,2018-11-11 22:39:25,30.13,111.78,59.14,88,7.11,64
neiafu,US,2018-11-11 21:56:00,36.57,-119.61,50.0,61,2.71,90
neiafu,PK,2018-11-11 22:39:35,29.03,66.58,60.94,64,4.05,0
neiafu,MG,2018-11-11 22:39:36,-13.19,49.05,78.94,100,3.87,36
neiafu,IL,2018-11-11 22:20:00,31.67,34.57,68.0,77,4.7,20
neiafu,RU,2018-11-11 22:39:39,66.77,123.37,4.87,78,3.53,64
neiafu,NA,2018-11-11 22:00:00,-22.95,14.51,57.2,93,2.24,0
neiafu,ZA,2018-11-11 22:39:44,-34.0,24.73,68.01,84,12.93,20
neiafu,BR,2018-11-11 22:37:16,-21.64,-41.05,75.79,100,14.12,32
neiafu,BR,2018-11-11 22:39:48,-2.92,-39.92,76.33,91,11.81,88
neiafu,NO,2018-11-11 21:50:00,67.67,12.69,46.4,87,10.29,75
neiafu,RU,2018-11-11 22:39:55,57.31,88.17,1.9,59,12.55,64
neiafu,PH,2018-11-11 22:00:00,17.54,120.52,86.0,66,6.93,20
neiafu,CA,2018-11-11 22:00:00,48.48,-81.33,10.4,85,2.24,90
neiafu,US,2018-11-11 21:53:00,60.79,-161.76,21.02,84,28.86,1
neiafu,TM,2018-11-11 22:40:00,39.2,54.59,46.99,66,19.64,36
neiafu,AO,2018-11-11 22:40:01,-9.66,20.4,71.2,79,3.71,32
neiafu,AU,2018-11-11 22:00:00,-20.31,118.58,89.6,35,19.46,0
neiafu,US,2018-11-11 22:20:00,25.87,-97.51,59.0,93,9.17,90
neiafu,BF,2018-11-11 22:40:05,14.45,-0.24,63.28,65,2.86,0
neiafu,BR,2018-11-11 22:40:06,-9.91,-63.03,73.14,95,2.04,24
neiafu,IN,2018-11-11 22:40:09,11.67,92.75,82.72,100,14.67,76
neiafu,MU,2018-11-11 22:00:00,-20.41,57.7,82.4,65,14.99,40
neiafu,LK,2018-11-11 22:37:11,6.12,81.12,83.62,99,9.91,32
neiafu,CL,2018-11-11 22:00:00,-18.48,-70.32,68.0,72,1.86,90
neiafu,RU,2018-11-11 22:40:13,54.43,31.9,28.9,73,18.59,80
neiafu,US,2018-11-11 21:56:00,40.52,-107.55,19.04,83,3.76,1
neiafu,SA,2018-11-11 22:00:00,26.33,43.97,66.2,93,8.05,75
neiafu,PG,2018-11-11 22:40:17,-6.12,141.3,90.46,59,2.86,0
neiafu,UY,2018-11-11 22:00:00,-34.91,-54.96,69.8,88,11.41,75
neiafu,RU,2018-11-11 22:40:20,62.16,117.65,7.89,67,5.55,68
neiafu,EE,2018-11-11 21:50:00,57.91,26.05,37.4,91,12.75,88
neiafu,AW,2018-11-11 22:00:00,12.52,-70.03,80.6,88,8.05,20
neiafu,US,2018-11-11 21:56:00,36.97,-122.03,51.08,43,4.7,1
neiafu,FO,2018-11-11 21:50:00,62.16,-7.17,42.8,87,1.12,68
neiafu,ZA,2018-11-11 22:00:00,-33.02,27.91,73.4,73,17.22,20
neiafu,GB,2018-11-11 21:50:00,60.4,-1.35,48.2,87,11.41,64
neiafu,CA,2018-11-11 22:00:00,44.08,-80.2,33.8,81,5.82,90
neiafu,CM,2018-11-11 22:40:33,6.47,12.63,75.43,58,2.53,92
neiafu,IN,2018-11-11 22:40:34,25.52,90.21,79.17,69,3.71,0
neiafu,SB,2018-11-11 22:00:00,-9.43,159.96,84.2,79,4.7,90
neiafu,ID,2018-11-11 22:36:09,-7.95,110.28,80.11,100,5.21,32
neiafu,MG,2018-11-11 22:40:38,-14.88,47.99,86.01,68,4.72,0
neiafu,CA,2018-11-11 22:40:41,54.72,-113.29,1.59,57,5.61,12
