city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
cootamundra,CL,2018-11-15 18:00:00,-29.95,-71.34,59.0,87,4.7,0
cootamundra,PF,2018-11-15 18:20:49,-16.48,-151.75,82.72,98,7.27,32
cootamundra,US,2018-11-15 17:57:00,34.15,-119.2,71.96,83,4.47,75
cootamundra,US,2018-11-15 17:56:00,21.35,-158.09,80.96,66,9.73,20
cootamundra,KZ,2018-11-15 18:20:53,43.91,67.25,6.72,71,3.36,0
cootamundra,SE,2018-11-15 18:20:54,61.35,16.39,44.34,88,9.51,12
cootamundra,GB,2018-11-15 17:50:00,51.04,-4.21,53.6,93,2.24,75
cootamundra,AU,2018-11-15 17:30:00,-34.83,138.5,66.2,45,16.11,0
cootamundra,AU,2018-11-15 17:30:00,-27.58,153.3,86.0,50,11.41,20
cootamundra,MT,2018-11-15 17:45:00,35.84,14.54,62.6,77,2.24,20
cootamundra,IT,2018-11-15 16:55:00,37.51,13.08,55.4,87,1.12,40
cootamundra,RU,2018-11-15 18:21:05,54.43,31.9,13.11,72,2.91,0
cootamundra,IN,2018-11-15 18:21:07,11.67,92.75,85.6,94,10.74,20
cootamundra,KZ,2018-11-15 18:21:08,47.47,84.87,-11.6,34,2.57,0
cootamundra,RU,2018-11-15 17:30:00,53.14,59.15,15.8,56,2.24,0
cootamundra,AR,2018-11-15 18:21:11,-46.43,-67.52,53.34,46,19.46,20
cootamundra,NA,2018-11-15 18:21:12,-26.65,15.16,62.07,64,21.36,0
cootamundra,CA,2018-11-15 18:21:13,54.13,-108.44,17.16,80,5.59,92
cootamundra,MG,2018-11-15 18:21:14,-18.77,46.05,61.66,89,5.93,0
cootamundra,NA,2018-11-15 18:21:15,-22.12,14.28,61.3,96,4.92,8
cootamundra,ES,2018-11-15 18:00:00,38.18,-1.13,64.4,87,3.36,40
cootamundra,ES,2018-11-15 18:00:00,42.3,-5.9,46.4,93,4.7,64
cootamundra,CA,2018-11-15 17:00:00,55.74,-97.86,1.4,77,12.75,90
cootamundra,US,2018-11-15 17:53:00,39.95,-94.76,33.08,77,9.62,1
cootamundra,PE,2018-11-15 18:21:26,-5.23,-75.68,82.14,78,4.36,8
cootamundra,IN,2018-11-15 17:30:00,28.58,77.04,53.6,100,4.7,20
cootamundra,ES,2018-11-15 18:00:00,41.38,2.18,59.0,87,8.05,20
cootamundra,MX,2018-11-15 18:21:32,23.77,-98.21,43.66,62,5.37,0
cootamundra,US,2018-11-15 17:35:00,44.06,-121.32,46.94,82,3.36,1
cootamundra,PE,2018-11-15 18:16:37,-12.06,-77.04,56.04,76,2.46,20
cootamundra,CN,2018-11-15 18:21:37,42.84,93.51,18.73,48,4.14,0
cootamundra,CA,2018-11-15 17:00:00,58.52,-117.13,6.8,84,8.05,90
cootamundra,RU,2018-11-15 18:21:40,65.58,-170.99,28.59,100,17.67,56
cootamundra,BR,2018-11-15 18:21:41,-20.63,-46.0,66.7,96,2.57,44
cootamundra,AU,2018-11-15 17:30:00,-34.85,139.16,66.2,45,16.11,0
cootamundra,ZA,2018-11-15 18:21:44,-28.55,16.43,59.95,99,15.77,68
cootamundra,ZM,2018-11-15 18:21:50,-14.38,23.24,65.94,32,11.3,0
cootamundra,RU,2018-11-15 18:21:51,59.08,159.95,19.9,82,2.35,20
cootamundra,RU,2018-11-15 18:21:52,64.57,143.24,-10.84,65,1.23,32
